model,component,approach,epochs_trained,best_epoch,min_val_loss,final_val_loss,max_event_f1,final_event_f1,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath
LSTM,Joint,joint,100,100,0.0525,0.0525,0.9772,0.9771,50500.0,0.385284423828125,103.2445,False,0,10min1500Energy_J2Energy_OE_Test_leo_Seed0,geo/10min-1500/10min1500Energy_J2Energy_OE_Test_leo_Seed0.log
LSTM,Stage1,cascade,100,94,0.0384,0.0424,0.9763,0.9748,50402.0,0.3845367431640625,103.0172,False,0,10min1500Energy_J2Energy_OE_Test_leo_Seed0,geo/10min-1500/10min1500Energy_J2Energy_OE_Test_leo_Seed0.log
LSTM,Stage2,cascade,57,47,0.0216,0.0273,0.9949,0.9944,50451.0,0.38491058349609375,59.0601,True,0,10min1500Energy_J2Energy_OE_Test_leo_Seed0,geo/10min-1500/10min1500Energy_J2Energy_OE_Test_leo_Seed0.log
MAMBA,Joint,joint,68,58,0.3141,0.3598,0.8483,0.81,17044.0,0.130035400390625,268.1756,True,0,10min1500Energy_J2Energy_OE_Test_leo_Seed0,geo/10min-1500/10min1500Energy_J2Energy_OE_Test_leo_Seed0.log
MAMBA,Stage1,cascade,75,65,0.0907,0.0929,0.9527,0.9527,16786.0,0.1280670166015625,294.1953,True,0,10min1500Energy_J2Energy_OE_Test_leo_Seed0,geo/10min-1500/10min1500Energy_J2Energy_OE_Test_leo_Seed0.log
MAMBA,Stage2,cascade,100,93,0.1158,0.1246,0.9516,0.9424,16915.0,0.12905120849609375,377.2351,False,0,10min1500Energy_J2Energy_OE_Test_leo_Seed0,geo/10min-1500/10min1500Energy_J2Energy_OE_Test_leo_Seed0.log
TRANSFORMER,Joint,joint,95,85,0.0137,0.0149,0.9984,0.9984,288196.0,2.198760986328125,123.7794,True,0,10min1500Energy_J2Energy_OE_Test_leo_Seed0,geo/10min-1500/10min1500Energy_J2Energy_OE_Test_leo_Seed0.log
TRANSFORMER,Stage1,cascade,82,72,0.013,0.0137,0.9951,0.9951,288066.0,2.1977691650390625,107.6013,True,0,10min1500Energy_J2Energy_OE_Test_leo_Seed0,geo/10min-1500/10min1500Energy_J2Energy_OE_Test_leo_Seed0.log
TRANSFORMER,Stage2,cascade,83,73,0.0121,0.0209,0.9981,0.9948,288131.0,2.1982650756835938,107.8836,True,0,10min1500Energy_J2Energy_OE_Test_leo_Seed0,geo/10min-1500/10min1500Energy_J2Energy_OE_Test_leo_Seed0.log
CNN,Joint,joint,38,28,0.0086,0.0105,0.9988,0.9981,473092.0,3.609405517578125,137.2808,True,0,10min1500Energy_J2Energy_OE_Test_leo_Seed0,geo/10min-1500/10min1500Energy_J2Energy_OE_Test_leo_Seed0.log
CNN,Stage1,cascade,35,25,0.0113,0.0135,0.9955,0.9934,472834.0,3.6074371337890625,126.1441,True,0,10min1500Energy_J2Energy_OE_Test_leo_Seed0,geo/10min-1500/10min1500Energy_J2Energy_OE_Test_leo_Seed0.log
CNN,Stage2,cascade,89,54,0.0,0.0,1.0,1.0,472963.0,3.6084213256835938,323.8789,True,0,10min1500Energy_J2Energy_OE_Test_leo_Seed0,geo/10min-1500/10min1500Energy_J2Energy_OE_Test_leo_Seed0.log
LightGBM,Joint,joint,0,-1,,,,,,0.4018373489379883,0.2992,False,0,10min1500Energy_J2Energy_OE_Test_leo_Seed0,geo/10min-1500/10min1500Energy_J2Energy_OE_Test_leo_Seed0.log
LightGBM,Stage1,cascade,0,-1,,,,,,0.20399761199951172,0.1862,False,0,10min1500Energy_J2Energy_OE_Test_leo_Seed0,geo/10min-1500/10min1500Energy_J2Energy_OE_Test_leo_Seed0.log
LightGBM,Stage2,cascade,0,-1,,,,,,0.30197906494140625,0.1453,False,0,10min1500Energy_J2Energy_OE_Test_leo_Seed0,geo/10min-1500/10min1500Energy_J2Energy_OE_Test_leo_Seed0.log
MiniRocket,Joint,joint,0,-1,,,,,9748.0,0.0858,,False,0,10min1500Energy_J2Energy_OE_Test_leo_Seed0,geo/10min-1500/10min1500Energy_J2Energy_OE_Test_leo_Seed0.log
MiniRocket,Stage1,cascade,0,-1,,,,,4874.0,0.0486,,False,0,10min1500Energy_J2Energy_OE_Test_leo_Seed0,geo/10min-1500/10min1500Energy_J2Energy_OE_Test_leo_Seed0.log
MiniRocket,Stage2,cascade,0,-1,,,,,7311.0,0.0672,2.0294,False,0,10min1500Energy_J2Energy_OE_Test_leo_Seed0,geo/10min-1500/10min1500Energy_J2Energy_OE_Test_leo_Seed0.log
