model,component,approach,epochs_trained,best_epoch,min_val_loss,final_val_loss,max_event_f1,final_event_f1,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath
LSTM,Joint,joint,33,23,0.1379,0.1709,0.9434,0.9424,94780.0,0.723114013671875,98.4668,True,0,30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0.log
LSTM,Stage1,cascade,29,19,0.1456,0.1632,0.8768,0.8768,94646.0,0.7220916748046875,86.522,True,0,30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0.log
LSTM,Stage2,cascade,100,13,0.0,0.0,1.0,1.0,94713.0,0.7226028442382812,297.4273,False,0,30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0.log
MAMBA,Joint,joint,49,30,0.172,0.1806,0.9322,0.9322,25018.0,0.1908721923828125,173.9304,True,0,30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0.log
MAMBA,Stage1,cascade,37,27,0.179,0.1931,0.8489,0.8458,24664.0,0.18817138671875,132.5273,True,0,30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0.log
MAMBA,Stage2,cascade,100,15,0.0,0.0,1.0,1.0,24841.0,0.18952178955078125,343.65,False,0,30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0.log
TRANSFORMER,Joint,joint,32,22,0.145,0.1529,0.9394,0.9349,404956.0,3.089569091796875,43.9036,True,0,30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0.log
TRANSFORMER,Stage1,cascade,32,22,0.1423,0.166,0.8684,0.8428,404778.0,3.0882110595703125,43.336,True,0,30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0.log
TRANSFORMER,Stage2,cascade,44,32,0.0,0.0,1.0,1.0,404867.0,3.0888900756835938,59.2118,True,0,30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0.log
CNN,Joint,joint,26,16,0.0922,0.1042,0.9657,0.9657,473668.0,3.613800048828125,202.7134,True,0,30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0.log
CNN,Stage1,cascade,34,24,0.0875,0.1314,0.9266,0.9224,473410.0,3.6118316650390625,265.0148,True,0,30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0.log
CNN,Stage2,cascade,100,4,0.0,0.0,1.0,1.0,473539.0,3.6128158569335938,768.0405,False,0,30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0.log
LightGBM,Joint,joint,0,-1,,,,,,0.40152454376220703,1.1341,False,0,30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0.log
LightGBM,Stage1,cascade,0,-1,,,,,,0.20663833618164062,0.8867,False,0,30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0.log
LightGBM,Stage2,cascade,0,-1,,,,,,0.3006572723388672,0.3275,False,0,30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0.log
MiniRocket,Joint,joint,0,-1,,,,,9748.0,0.0858,,False,0,30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0.log
MiniRocket,Stage1,cascade,0,-1,,,,,4874.0,0.0487,,False,0,30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0.log
MiniRocket,Stage2,cascade,0,-1,,,,,7311.0,0.0673,5.5427,False,0,30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed0.log
