Model,Epoch,Validation Loss,Validation Accuracy
LSTM,1,0.498,78.67
LSTM,2,0.4535,80.22
LSTM,3,0.4195,81.0
LSTM,4,0.4126,81.33
LSTM,5,0.4214,81.22
LSTM,6,0.412,81.22
LSTM,7,0.4145,81.44
LSTM,8,0.3972,82.0
LSTM,9,0.3916,81.78
LSTM,10,0.3814,82.56
LSTM,11,0.3787,82.67
LSTM,12,0.3863,82.67
LSTM,13,0.3802,82.78
LSTM,14,0.3715,82.56
LSTM,15,0.373,82.89
LSTM,16,0.3613,82.22
LSTM,17,0.3639,82.67
LSTM,18,0.3766,81.56
LSTM,19,0.3762,82.67
LSTM,20,0.3583,83.0
LSTM,21,0.3606,83.33
LSTM,22,0.3716,82.89
LSTM,23,0.3593,82.22
LSTM,24,0.3615,83.11
LSTM,25,0.3813,82.78
LSTM,26,0.3886,83.22
LSTM,27,0.4193,82.0
LSTM,28,0.3984,82.67
LSTM,29,0.4135,82.78
LSTM,30,0.4244,82.22
Mamba,1,1.3301,38.56
Mamba,2,0.8335,68.0
Mamba,3,0.6701,73.78
Mamba,4,0.5853,76.0
Mamba,5,0.5577,77.67
Mamba,6,0.5132,77.11
Mamba,7,0.5184,78.89
Mamba,8,0.4901,77.11
Mamba,9,0.48,79.33
Mamba,10,0.4732,78.67
Mamba,11,0.5001,79.44
Mamba,12,0.4817,78.89
Mamba,13,0.4749,79.56
Mamba,14,0.5114,79.56
Mamba,15,0.4769,79.89
Mamba,16,0.5023,77.44
Mamba,17,0.4857,79.22
Mamba,18,0.4924,78.56
Mamba,19,0.5013,78.44
Mamba,20,0.4999,77.0
Transformer,1,0.5381,72.56
Transformer,2,0.5011,77.67
Transformer,3,0.5161,74.67
Transformer,4,0.4722,79.22
Transformer,5,0.4536,79.44
Transformer,6,0.4434,80.56
Transformer,7,0.443,80.11
Transformer,8,0.4353,81.22
Transformer,9,0.4341,80.78
Transformer,10,0.4359,80.56
Transformer,11,0.4776,77.11
Transformer,12,0.422,81.44
Transformer,13,0.4516,81.33
Transformer,14,0.4474,78.44
Transformer,15,0.4262,81.56
Transformer,16,0.4335,80.89
Transformer,17,0.407,81.67
Transformer,18,0.4152,81.78
Transformer,19,0.3944,82.11
Transformer,20,0.4063,81.89
Transformer,21,0.3923,82.0
Transformer,22,0.3927,82.0
Transformer,23,0.397,81.56
Transformer,24,0.4033,81.44
Transformer,25,0.4257,81.44
Transformer,26,0.4184,81.44
Transformer,27,0.4051,82.33
Transformer,28,0.3864,82.22
Transformer,29,0.3885,82.33
Transformer,30,0.3933,81.78
Transformer,31,0.4224,81.89
Transformer,32,0.392,82.0
Transformer,33,0.4213,82.11
Transformer,34,0.3811,82.89
Transformer,35,0.3977,82.22
Transformer,36,0.4012,82.22
Transformer,37,0.3933,82.0
Transformer,38,0.3975,82.56
Transformer,39,0.405,82.33
Transformer,40,0.3896,82.67
Transformer,41,0.3918,82.33
Transformer,42,0.3937,82.78
Transformer,43,0.3913,82.44
Transformer,44,0.4053,82.67
1D-CNN (InceptionTime),1,0.5385,74.89
1D-CNN (InceptionTime),2,0.5402,72.78
1D-CNN (InceptionTime),3,0.4321,80.0
1D-CNN (InceptionTime),4,0.424,81.78
1D-CNN (InceptionTime),5,0.4132,81.33
1D-CNN (InceptionTime),6,0.4139,81.56
1D-CNN (InceptionTime),7,0.4197,81.56
1D-CNN (InceptionTime),8,0.4174,81.0
1D-CNN (InceptionTime),9,0.4388,80.11
1D-CNN (InceptionTime),10,0.3942,82.0
1D-CNN (InceptionTime),11,0.3912,81.56
1D-CNN (InceptionTime),12,0.3965,81.44
1D-CNN (InceptionTime),13,0.3806,83.0
1D-CNN (InceptionTime),14,0.7138,73.0
1D-CNN (InceptionTime),15,0.3842,82.44
1D-CNN (InceptionTime),16,0.389,82.11
1D-CNN (InceptionTime),17,0.4147,82.56
1D-CNN (InceptionTime),18,0.4059,81.89
1D-CNN (InceptionTime),19,0.3872,83.56
1D-CNN (InceptionTime),20,0.3755,82.33
1D-CNN (InceptionTime),21,0.3901,83.44
1D-CNN (InceptionTime),22,0.371,83.0
1D-CNN (InceptionTime),23,0.4114,81.33
1D-CNN (InceptionTime),24,0.3792,82.67
1D-CNN (InceptionTime),25,0.3633,82.56
1D-CNN (InceptionTime),26,0.3685,82.11
1D-CNN (InceptionTime),27,0.3773,82.78
1D-CNN (InceptionTime),28,0.3701,82.78
1D-CNN (InceptionTime),29,0.3671,82.89
1D-CNN (InceptionTime),30,0.3742,83.11
1D-CNN (InceptionTime),31,0.3624,82.67
1D-CNN (InceptionTime),32,0.381,82.44
1D-CNN (InceptionTime),33,0.374,82.78
1D-CNN (InceptionTime),34,0.3708,82.44
1D-CNN (InceptionTime),35,0.4175,82.67
1D-CNN (InceptionTime),36,0.3876,82.33
1D-CNN (InceptionTime),37,0.395,81.44
1D-CNN (InceptionTime),38,0.4204,82.44
1D-CNN (InceptionTime),39,0.3837,82.44
1D-CNN (InceptionTime),40,0.45,82.22
1D-CNN (InceptionTime),41,0.4287,82.44
