model,component,approach,epochs_trained,best_epoch,min_val_loss,final_val_loss,max_event_f1,final_event_f1,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath
LSTM,Joint,joint,51,41,0.3937,0.4012,0.8211,0.8201,50500.0,0.385284423828125,119.6981,True,0,30min1500Energy_J2Energy_OE_Test_geo_Seed2,leo/30min-1500/30min1500Energy_J2Energy_OE_Test_geo_Seed2.log
LSTM,Stage1,cascade,50,40,0.3631,0.3753,0.6583,0.6583,50402.0,0.3845367431640625,117.2897,True,0,30min1500Energy_J2Energy_OE_Test_geo_Seed2,leo/30min-1500/30min1500Energy_J2Energy_OE_Test_geo_Seed2.log
LSTM,Stage2,cascade,51,41,0.0079,0.0098,0.9934,0.9933,50451.0,0.38491058349609375,119.3143,True,0,30min1500Energy_J2Energy_OE_Test_geo_Seed2,leo/30min-1500/30min1500Energy_J2Energy_OE_Test_geo_Seed2.log
MAMBA,Joint,joint,54,44,0.6177,0.6339,0.5477,0.5477,17044.0,0.130035400390625,198.3747,True,0,30min1500Energy_J2Energy_OE_Test_geo_Seed2,leo/30min-1500/30min1500Energy_J2Energy_OE_Test_geo_Seed2.log
MAMBA,Stage1,cascade,54,44,0.5356,0.5469,0.5205,0.5181,16786.0,0.1280670166015625,196.0347,True,0,30min1500Energy_J2Energy_OE_Test_geo_Seed2,leo/30min-1500/30min1500Energy_J2Energy_OE_Test_geo_Seed2.log
MAMBA,Stage2,cascade,35,25,0.4014,0.5032,0.796,0.7921,16915.0,0.12905120849609375,122.2704,True,0,30min1500Energy_J2Energy_OE_Test_geo_Seed2,leo/30min-1500/30min1500Energy_J2Energy_OE_Test_geo_Seed2.log
TRANSFORMER,Joint,joint,77,67,0.1755,0.2083,0.7884,0.7796,288196.0,2.198760986328125,106.699,True,0,30min1500Energy_J2Energy_OE_Test_geo_Seed2,leo/30min-1500/30min1500Energy_J2Energy_OE_Test_geo_Seed2.log
TRANSFORMER,Stage1,cascade,86,76,0.162,0.1639,0.8515,0.8446,288066.0,2.1977691650390625,120.4592,True,0,30min1500Energy_J2Energy_OE_Test_geo_Seed2,leo/30min-1500/30min1500Energy_J2Energy_OE_Test_geo_Seed2.log
TRANSFORMER,Stage2,cascade,53,40,0.0,0.0,1.0,1.0,288131.0,2.1982650756835938,75.5182,True,0,30min1500Energy_J2Energy_OE_Test_geo_Seed2,leo/30min-1500/30min1500Energy_J2Energy_OE_Test_geo_Seed2.log
CNN,Joint,joint,65,55,0.1649,0.1842,0.9352,0.9332,473092.0,3.609405517578125,506.1975,True,0,30min1500Energy_J2Energy_OE_Test_geo_Seed2,leo/30min-1500/30min1500Energy_J2Energy_OE_Test_geo_Seed2.log
CNN,Stage1,cascade,66,56,0.1279,0.1469,0.8828,0.8805,472834.0,3.6074371337890625,513.8882,True,0,30min1500Energy_J2Energy_OE_Test_geo_Seed2,leo/30min-1500/30min1500Energy_J2Energy_OE_Test_geo_Seed2.log
CNN,Stage2,cascade,38,28,0.0169,0.0291,0.9909,0.9901,472963.0,3.6084213256835938,291.2099,True,0,30min1500Energy_J2Energy_OE_Test_geo_Seed2,leo/30min-1500/30min1500Energy_J2Energy_OE_Test_geo_Seed2.log
LightGBM,Joint,joint,0,-1,,,,,,0.4045095443725586,0.8659,False,0,30min1500Energy_J2Energy_OE_Test_geo_Seed2,leo/30min-1500/30min1500Energy_J2Energy_OE_Test_geo_Seed2.log
LightGBM,Stage1,cascade,0,-1,,,,,,0.2058887481689453,0.5773,False,0,30min1500Energy_J2Energy_OE_Test_geo_Seed2,leo/30min-1500/30min1500Energy_J2Energy_OE_Test_geo_Seed2.log
LightGBM,Stage2,cascade,0,-1,,,,,,0.3031892776489258,0.2952,False,0,30min1500Energy_J2Energy_OE_Test_geo_Seed2,leo/30min-1500/30min1500Energy_J2Energy_OE_Test_geo_Seed2.log
MiniRocket,Joint,joint,0,-1,,,,,9748.0,0.0857,,False,0,30min1500Energy_J2Energy_OE_Test_geo_Seed2,leo/30min-1500/30min1500Energy_J2Energy_OE_Test_geo_Seed2.log
MiniRocket,Stage1,cascade,0,-1,,,,,4874.0,0.0485,,False,0,30min1500Energy_J2Energy_OE_Test_geo_Seed2,leo/30min-1500/30min1500Energy_J2Energy_OE_Test_geo_Seed2.log
MiniRocket,Stage2,cascade,0,-1,,,,,7311.0,0.0671,5.5068,False,0,30min1500Energy_J2Energy_OE_Test_geo_Seed2,leo/30min-1500/30min1500Energy_J2Energy_OE_Test_geo_Seed2.log
