model,component,approach,epochs_trained,best_epoch,min_val_loss,final_val_loss,max_event_f1,final_event_f1,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath
LSTM,Joint,joint,57,47,0.39,0.4009,0.8264,0.8264,50500.0,0.385284423828125,395.6943,True,0,100min1500Energy_J2Energy_OE_Test_geo_Seed0,leo/100min-1500/100min1500Energy_J2Energy_OE_Test_geo_Seed0.log
LSTM,Stage1,cascade,21,11,0.524,0.5539,0.5037,0.5019,50402.0,0.3845367431640625,144.7462,True,0,100min1500Energy_J2Energy_OE_Test_geo_Seed0,leo/100min-1500/100min1500Energy_J2Energy_OE_Test_geo_Seed0.log
LSTM,Stage2,cascade,59,49,0.0038,0.0041,0.9926,0.9903,50451.0,0.38491058349609375,408.6691,True,0,100min1500Energy_J2Energy_OE_Test_geo_Seed0,leo/100min-1500/100min1500Energy_J2Energy_OE_Test_geo_Seed0.log
MAMBA,Joint,joint,42,32,0.5632,0.5711,0.5108,0.4883,17044.0,0.130035400390625,222.0188,True,0,100min1500Energy_J2Energy_OE_Test_geo_Seed0,leo/100min-1500/100min1500Energy_J2Energy_OE_Test_geo_Seed0.log
MAMBA,Stage1,cascade,73,63,0.5458,0.5577,0.4954,0.492,16786.0,0.1280670166015625,385.1402,True,0,100min1500Energy_J2Energy_OE_Test_geo_Seed0,leo/100min-1500/100min1500Energy_J2Energy_OE_Test_geo_Seed0.log
MAMBA,Stage2,cascade,45,35,0.1818,0.2256,0.7891,0.7297,16915.0,0.12905120849609375,237.5401,True,0,100min1500Energy_J2Energy_OE_Test_geo_Seed0,leo/100min-1500/100min1500Energy_J2Energy_OE_Test_geo_Seed0.log
TRANSFORMER,Joint,joint,100,99,0.0515,0.0538,0.711,0.7055,288196.0,2.198760986328125,219.0409,False,0,100min1500Energy_J2Energy_OE_Test_geo_Seed0,leo/100min-1500/100min1500Energy_J2Energy_OE_Test_geo_Seed0.log
TRANSFORMER,Stage1,cascade,100,100,0.0777,0.0777,0.9134,0.9134,288066.0,2.1977691650390625,220.3404,False,0,100min1500Energy_J2Energy_OE_Test_geo_Seed0,leo/100min-1500/100min1500Energy_J2Energy_OE_Test_geo_Seed0.log
TRANSFORMER,Stage2,cascade,71,61,0.002,0.0033,0.9978,0.9749,288131.0,2.1982650756835938,154.755,True,0,100min1500Energy_J2Energy_OE_Test_geo_Seed0,leo/100min-1500/100min1500Energy_J2Energy_OE_Test_geo_Seed0.log
CNN,Joint,joint,56,46,0.0349,0.0414,0.9604,0.9604,473092.0,3.609405517578125,634.7572,True,0,100min1500Energy_J2Energy_OE_Test_geo_Seed0,leo/100min-1500/100min1500Energy_J2Energy_OE_Test_geo_Seed0.log
CNN,Stage1,cascade,47,37,0.0441,0.0461,0.9383,0.9382,472834.0,3.6074371337890625,531.9583,True,0,100min1500Energy_J2Energy_OE_Test_geo_Seed0,leo/100min-1500/100min1500Energy_J2Energy_OE_Test_geo_Seed0.log
CNN,Stage2,cascade,23,13,0.0007,0.0093,0.9992,0.9992,472963.0,3.6084213256835938,253.0265,True,0,100min1500Energy_J2Energy_OE_Test_geo_Seed0,leo/100min-1500/100min1500Energy_J2Energy_OE_Test_geo_Seed0.log
LightGBM,Joint,joint,0,-1,,,,,,0.4054603576660156,2.6639,False,0,100min1500Energy_J2Energy_OE_Test_geo_Seed0,leo/100min-1500/100min1500Energy_J2Energy_OE_Test_geo_Seed0.log
LightGBM,Stage1,cascade,0,-1,,,,,,0.20731067657470703,1.8182,False,0,100min1500Energy_J2Energy_OE_Test_geo_Seed0,leo/100min-1500/100min1500Energy_J2Energy_OE_Test_geo_Seed0.log
LightGBM,Stage2,cascade,0,-1,,,,,,0.3041353225708008,0.7833,False,0,100min1500Energy_J2Energy_OE_Test_geo_Seed0,leo/100min-1500/100min1500Energy_J2Energy_OE_Test_geo_Seed0.log
MiniRocket,Joint,joint,0,-1,,,,,9748.0,0.0858,,False,0,100min1500Energy_J2Energy_OE_Test_geo_Seed0,leo/100min-1500/100min1500Energy_J2Energy_OE_Test_geo_Seed0.log
MiniRocket,Stage1,cascade,0,-1,,,,,4874.0,0.0486,,False,0,100min1500Energy_J2Energy_OE_Test_geo_Seed0,leo/100min-1500/100min1500Energy_J2Energy_OE_Test_geo_Seed0.log
MiniRocket,Stage2,cascade,0,-1,,,,,7311.0,0.0672,18.1366,False,0,100min1500Energy_J2Energy_OE_Test_geo_Seed0,leo/100min-1500/100min1500Energy_J2Energy_OE_Test_geo_Seed0.log
